comparison_id,experiment,comparison_group,workload_id,baseline_point,candidate_point,metric,baseline,candidate,delta,delta_percent,formula,status
architecture-315mhz:bursty:area_combinational_um2,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,area_combinational_um2,620022.075238,187611.665954,-432410.409284,-69.741131252143902718285879019788062857746542395053148567294721951607700702458646,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:area_sequential_um2,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,area_sequential_um2,909473.120182,232596.776486,-676876.343696,-74.425107095033914260933657505468742533044504777651812436707717251191761951450637,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:area_total_um2,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,area_total_um2,1529495.19542,420208.44244,-1109286.75298,-72.526331321713593774892696288951118645809495445168764922487460794249351313859651,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:buffer_cell_count,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,buffer_cell_count,14112,3446,-10666,-75.581065759637188208616780045351473922902494331065759637188208616780045351473923,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:cell_count,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,cell_count,786342,220298,-566044,-71.98445460117862202451350684562187953841966981288040063992512163918498566781375,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:clock_mw,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,clock_mw,0,0,0,0,candidate-baseline; equal_zero_baseline=>0_percent,PASS
architecture-315mhz:bursty:combinational_power_mw,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,combinational_power_mw,11.738,4.6925,-7.0455,-60.023002215028113818367694666893849037314704378940194240926904072243993866075993,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:dynamic_energy_per_block_nj,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,dynamic_energy_per_block_nj,636.51129714285714285714285714285714285714285714285714285714285714285714285714286,156.66527223214285714285714285714285714285714285714285714285714285714285714285714,-479.84602491071428571428571428571428571428571428571428571428571428571428571428572,-75.386882693932569590931825633762514209488567757616816891958295126926576735789863,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:dynamic_energy_per_compressed_byte_nj,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,dynamic_energy_per_compressed_byte_nj,0.86541304846071671360590463241720889579489171603379625133534039040497232203554433,0.21300512879965038360687578906477614839273574827619695056812663882684276973875886,-0.65240791966106632999902884335243274740215596775759930076721375157812955229678547,-75.386882693932569590931825633762514209488567757616816891958295126926576735789863,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:dynamic_energy_per_raw_byte_nj,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,dynamic_energy_per_raw_byte_nj,0.15539826590401785714285714285714285714285714285714285714285714285714285714285714,0.038248357478550502232142857142857142857142857142857142857142857142857142857142857,-0.11714990842546735491071428571428571428571428571428571428571428571428571428571428,-75.386882693932569590931825633762514209488567757616816891958295126926576735789861,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:dynamic_mw,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,dynamic_mw,436.4352,109.8717,-326.5635,-74.825197417623509744401918085433988825832563459592626809203290660331705600281554,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:energy_per_block_nj,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,energy_per_block_nj,674.81673611111111111111111111111111111111111111111111111111111111111111111111111,167.5851875,-507.23154861111111111111111111111111111111111111111111111111111111111111111111111,-75.165822284465916209143614197311389378247859681244733009301599477471301107368554,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:energy_per_compressed_byte_nj,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,energy_per_compressed_byte_nj,0.91749386282951884583427751340735705113679280912455623536520885263237404637812524,0.22785205642420122365737593473827328348062542488103331067301155676410605030591434,-0.6896418064053176221769015786690837676561673842435229246921972958682679960722109,-75.165822284465916209143614197311389378247859681244733009301599477471301107368555,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:energy_per_raw_byte_nj,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,energy_per_raw_byte_nj,0.16475017971462673611111111111111111111111111111111111111111111111111111111111111,0.0409143524169921875,-0.12383582729763454861111111111111111111111111111111111111111111111111111111111111,-75.165822284465916209143614197311389378247859681244733009301599477471301107368554,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:internal_mw,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,internal_mw,435.87,109.13,-326.74,-74.962718241677564411407070915639984399018055842338311881983160116548512171060178,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:inverter_cell_count,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,inverter_cell_count,196047,44803,-151244,-77.146806633103286456819028090202859518380796441669599636821782531739837896014731,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:leakage_mw,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,leakage_mw,26.262,7.6553,-18.6067,-70.850277968166933211484273855761175843423958571319777625466453430812580915391059,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:sequential_cell_count,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,sequential_cell_count,200572,50999,-149573,-74.573220589115130726123287398041601021079712023612468340546038330375127136389925,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:sequential_power_mw,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,sequential_power_mw,450.96,112.84,-338.12,-74.97782508426467979421678197622849033173673940039027851694163562178463721837857,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:switching_mw,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,switching_mw,0.5645427,0.7441778,0.1796351,31.819577155102705251524818228984273465939777451732171897714734421328980075377824,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:bursty:total_mw,architecture,architecture-315mhz,bursty,arch315-a0-bursty,arch315-a1-bursty,total_mw,462.7,117.53,-345.17,-74.599092284417549167927382753403933434190620272314674735249621785173978819969743,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
